206  	внутри	40.4	2779
207  	вернее	40.3	2790
208  	заметно	40.3	2792
209  	радостно	40.3	2796
210  	замуж	39.8	2823
211  	дважды	39.6	2835
212  	нету	39.4	2853
213  	вправе	38.7	2886
214  	вовремя	38.4	2905
215  	сперва	37.9	2938
216  	отдельно	37.7	2952
217  	подробно	37.4	2966
218  	по-видимому	37.1	2987
219  	вечно	36.7	3009
220  	мимо	36.6	3018
221  	поначалу	36.6	3020
222  	всерьез	36.5	3025
223  	удивительно	36.2	3048
224  	срочно	36.1	3051
225  	неплохо	36.0	3057
226  	однако	35.7	3078
227  	еле	35.6	3088
228  	независимо	35.6	3091
229  	вслух	35.3	3112
230  	мягко	35.3	3116
231  	немножко	35.3	3117
232  	самостоятельно	35.3	3122
233  	коротко	35.2	3127
234  	несомненно	35.0	3139
235  	слышно	35.0	3140
236  	искренне	34.9	3149
237  	непонятно	34.7	3165
238  	справа	34.4	3183
239  	исключительно	34.2	3198
240  	незаметно	34.2	3200
241  	по-настоящему	34.1	3214
242  	холодно	34.1	3218
243  	слева	33.8	3248
244  	вплоть	33.6	3261
245  	здорово	33.4	3282
246  	нынче	33.4	3285
247  	тотчас	33.4	3288
248  	невольно	33.1	3304
249  	вначале	32.9	3325
250  	аккуратно	32.6	3346
251  	вдвоем	32.6	3348
252  	словом	32.5	3363
253  	угодно	32.1	3406
254  	свободно	31.8	3436
255  	вот-вот	31.4	3460
256  	снизу	31.4	3464
257  	уверенно	31.3	3478
258  	целиком	31.1	3505
259  	по-русски	31.0	3512
260  	наряду	30.8	3532
261  	недостаточно	30.8	3533
262  	официально	30.7	3543
263  	подряд	30.7	3545
264  	кругом	30.1	3605
265  	надолго	29.8	3634
266  	регулярно	29.7	3643
267  	смешно	29.7	3645
268  	реально	29.5	3664
269  	чуть-чуть	29.3	3692
270  	намного	29.2	3695
271  	недалеко	29.2	3696
272  	охотно	29.2	3698
273  	совместно	29.2	3700
274  	откровенно	29.1	3706
275  	слабо	29.0	3726
276  	сложно	28.8	3749
277  	заодно	28.6	3762
278  	некуда	28.6	3765
279  	отчасти	28.3	3794
280  	следом	28.3	3799
281  	стремительно	28.3	3800
282  	зачастую	28.2	3804
283  	отчетливо	27.8	3852
284  	ужасно	27.8	3855
285  	задумчиво	27.7	3859
286  	ярко	27.7	3872
287  	ежедневно	27.5	3887
288  	удобно	27.3	3914
289  	нормально	26.8	3966
290  	неоднократно	26.7	3974
291  	принципиально	26.3	4020
292  	грустно	26.1	4046
293  	дескать	26.1	4047
294  	тесно	25.9	4077
295  	красиво	25.8	4084
296  	недолго	25.7	4095
297  	неподалеку	25.7	4096
298  	ежегодно	24.9	4197
299  	заново	24.9	4198
300  	ловко	24.7	4218
301  	одинаково	24.5	4246
302  	максимально	24.3	4268
303  	внешне	24.2	4278
304  	частично	24.2	4288
305  	бесконечно	23.9	4312
306  	изнутри	23.8	4329
307  	попросту	23.8	4333
308  	прочь	23.8	4336
309  	тепло	23.7	4346
310  	бесплатно	23.6	4349
311  	ласково	23.6	4353
312  	сравнительно	23.6	4364
313  	торопливо	23.6	4365
314  	плотно	23.4	4389
315  	скучно	23.4	4392
316  	полно	23.0	4455
317  	напрасно	22.9	4466
318  	неловко	22.9	4467
319  	преимущественно	22.9	4472
320  	изредка	22.8	4483
321  	наружу	22.8	4485
322  	открыто	22.8	4486
323  	по-разному	22.8	4488
324  	мысленно	22.7	4501
325  	наверх	22.7	4502
326  	обидно	22.4	4564
327  	пешком	22.4	4568
328  	вежливо	22.3	4576
329  	ладно	22.3	4583
330  	торжественно	22.3	4588
331  	грубо	21.5	4705
332  	недаром	21.4	4719
333  	наверху	21.2	4742
334  	неизбежно	21.1	4763
335  	тихонько	21.1	4772
336  	негромко	20.8	4804
337  	потихоньку	20.7	4823
338  	относительно	20.6	4838
339  	удивленно	20.6	4844
340  	испуганно	20.3	4888
341  	конкретно	20.3	4889
342  	удачно	20.3	4904
343  	категорически	20.2	4909
344  	остро	20.2	4915
345  	упорно	20.2	4921
346  	автоматически	20.0	4938
347  	позади	20.0	4948
348  	смело	20.0	4952
349  	жарко	19.8	4979
350  	разом	19.7	5006
351  	физически	19.6	5030
352  	старательно	19.4	5072
353  	традиционно	19.4	5073
354  	поспешно	19.3	5083
355  	сбоку	19.3	5085
356  	темно	19.3	5086
357  	толком	19.3	5087
358  	изначально	19.2	5093
359  	дружно	19.0	5123
360  	снаружи	19.0	5131
361  	предварительно	18.9	5149
362  	горячо	18.8	5163
363  	нарочно	18.7	5179
364  	печально	18.7	5184
365  	горько	18.6	5200
366  	нежно	18.6	5205
367  	сердито	18.6	5211
368  	вдвое	18.4	5241
369  	впрямь	18.4	5243
370  	жестко	18.3	5267
371  	направо	18.3	5274
372  	издали	18.2	5297
373  	вдали	18.1	5308
374  	налево	18.1	5315
375  	против	18.1	5324
376  	параллельно	18.0	5346
377  	напрямую	17.8	5381
378  	неудобно	17.7	5408
379  	эффективно	17.7	5422
380  	внутрь	17.6	5425
381  	издалека	17.6	5434
382  	неизменно	17.6	5438
383  	приблизительно	17.6	5443
384  	гордо	17.5	5451
385  	сплошь	17.5	5467
386  	благополучно	17.3	5496
387  	сознательно	17.3	5515
388  	предельно	17.1	5550
389  	растерянно	16.9	5593
390  	бывало	16.8	5601
391  	единственно	16.8	5609
392  	насквозь	16.8	5614
393  	замечательно	16.7	5640
394  	отныне	16.7	5650
395  	отчаянно	16.6	5678
396  	в-третьих	16.5	5690
397  	сугубо	16.4	5734
398  	трижды	16.4	5735
399  	формально	16.4	5740
400  	временно	16.3	5742
401  	ниже	16.3	5758
402  	поистине	16.3	5768
403  	чересчур	16.3	5777
404  	вправду	16.2	5779
405  	небрежно	16.2	5786
406  	зло	16.1	5808
407  	запросто	15.9	5871
408  	накануне	15.9	5878
409  	жадно	15.8	5901
410  	опять-таки	15.7	5935
411  	справедливо	15.7	5945
412  	мучительно	15.6	5962
413  	неважно	15.6	5963
414  	незадолго	15.6	5964
415  	ненадолго	15.6	5965
416  	вплотную	15.5	5992
417  	наполовину	15.5	6003
418  	настойчиво	15.5	6004
419  	терпеливо	15.4	6035
420  	мрачно	15.3	6046
421  	неправильно	15.2	6090
422  	скромно	15.2	6102
423  	глупо	15.0	6146
424  	мирно	15.0	6153
425  	неторопливо	15.0	6154
426  	всячески	14.7	6238
427  	бережно	14.6	6273
428  	добровольно	14.6	6279
429  	моментально	14.6	6285
430  	вяло	14.5	6306
431  	нервно	14.5	6319
432  	низко	14.5	6320
433  	плавно	14.5	6323
434  	сухо	14.5	6334
435  	невероятно	14.4	6352
436  	подчас	14.4	6357
437  	последовательно	14.4	6358
438  	пристально	14.4	6360
439  	однозначно	14.3	6379
440  	живо	14.2	6404
441  	неподвижно	14.2	6410
442  	объективно	14.2	6412
443  	прочно	14.2	6421
444  	равнодушно	14.2	6422
445  	густо	14.1	6433
446  	определенно	14.1	6449
447  	публично	14.1	6456
448  	неприятно	14.0	6481
449  	условно	14.0	6496
450  	шумно	14.0	6498
451  	пополам	13.9	6519
452  	шепотом	13.8	6564
453  	втроем	13.7	6568
454  	желательно	13.7	6571
455  	задолго	13.7	6572
456  	выгодно	13.5	6629
457  	нехорошо	13.5	6648
458  	даром	13.4	6673
459  	любопытно	13.4	6678
460  	понемногу	13.4	6685
461  	безнадежно	13.3	6699
462  	круто	13.3	6713
463  	лениво	13.3	6714
464  	по-английски	13.3	6720
465  	дорого	13.2	6731
466  	наизусть	13.2	6741
467  	периодически	13.2	6749
468  	нелегко	13.1	6779
469  	первоначально	13.0	6821
470  	послушно	13.0	6825
471  	равно	13.0	6829
472  	вправо	12.9	6839
473  	недовольно	12.9	6851
474  	противно	12.9	6862
475  	умело	12.9	6868
476  	устало	12.9	6869
477  	применительно	12.8	6905
478  	робко	12.8	6909
479  	убедительно	12.8	6911
480  	внутренне	12.7	6918
481  	туго	12.7	6948
482  	бодро	12.6	6957
483  	глухо	12.6	6961
484  	дополнительно	12.6	6962
485  	машинально	12.6	6966
486  	негде	12.6	6968
487  	необыкновенно	12.6	6970
488  	непрерывно	12.6	6972
489  	счастливо	12.6	6981
490  	влево	12.5	6991
491  	теоретически	12.5	7019
492  	заведомо	12.4	7031
493  	пусто	12.3	7089
494  	вовсю	12.2	7101
495  	достойно	12.2	7105
496  	изрядно	12.2	7108
497  	необычайно	12.2	7120
498  	привычно	12.2	7137
499  	давным-давно	12.1	7157
500  	наутро	12.1	7170
501  	покорно	12.0	7222
502  	сладко	12.0	7231
503  	тайно	12.0	7233
504  	яростно	12.0	7241
505  	поблизости	11.9	7265
506  	после	11.9	7269
507  	смутно	11.9	7280
508  	суждено	11.9	7282
509  	наедине	11.8	7307
510  	напряженно	11.8	7308
511  	надежно	11.7	7346
512  	нетрудно	11.7	7348
513  	многократно	11.6	7388
514  	неуверенно	11.6	7392
515  	щедро	11.6	7414
516  	жутко	11.5	7420
517  	мелко	11.5	7426
518  	подолгу	11.5	7440
519  	страстно	11.5	7452
520  	упрямо	11.5	7455
521  	экономически	11.5	7461
522  	тревожно	11.4	7497
523  	бегом	11.3	7504
524  	исторически	11.3	7511
525  	нетерпеливо	11.3	7519
526  	видать	11.2	7542
527  	сурово	11.1	7620
528  	налицо	11.0	7656
529  	напоследок	11.0	7657
530  	тонко	11.0	7676
531  	безумно	10.9	7689
532  	профессионально	10.9	7718
533  	вдобавок	10.8	7740
534  	нехотя	10.8	7758
535  	отрицательно	10.8	7761
536  	тупо	10.8	7783
537  	частенько	10.8	7787
538  	виновато	10.7	7793
539  	деловито	10.7	7798
540  	жалобно	10.7	7800
541  	насмешливо	10.7	7817
542  	бесшумно	10.6	7844
543  	качественно	10.6	7868
544  	хмуро	10.6	7904
545  	подозрительно	10.5	7938
546  	смущенно	10.5	7954
547  	судорожно	10.5	7957
548  	бессмысленно	10.4	7969
549  	уютно	10.4	8020
550  	идеально	10.3	8035
551  	лихо	10.3	8041
552  	неохотно	10.2	8092
553  	опасно	10.2	8094
554  	снисходительно	10.2	8109
555  	наглядно	10.0	8196
556  	смертельно	10.0	8216
557  	впредь	9.9	8235
558  	жестоко	9.9	8239
559  	основательно	9.9	8252
560  	по-человечески	9.9	8262
561  	раздраженно	9.9	8267
562  	социально	9.9	8273
563  	истинно	9.8	8297
564  	презрительно	9.8	8313
565  	замужем	9.7	8343
566  	начисто	9.7	8355
567  	одиноко	9.7	8358
568  	светло	9.7	8372
569  	послезавтра	9.6	8422
570  	только-только	9.5	8496
571  	беззвучно	9.4	8503
572  	прилично	9.4	8542
573  	энергично	9.4	8571
574  	великолепно	9.2	8638
575  	положительно	9.2	8675
576  	назло	9.1	8731
577  	прямо-таки	9.1	8750
578  	быстренько	9.0	8765
579  	кратко	9.0	8776
580  	воистину	8.9	8808
581  	грозно	8.9	8812
582  	полезно	8.9	8835
583  	спереди	8.9	8848
584  	дико	8.8	8872
585  	тоскливо	8.8	8926
586  	хорошенько	8.8	8932
587  	лихорадочно	8.7	8964
588  	своевременно	8.7	8992
589  	болезненно	8.6	9009
590  	незачем	8.6	9035
591  	позавчера	8.6	9046
592  	бурно	8.5	9080
593  	демонстративно	8.5	9088
594  	по-новому	8.5	9115
595  	хрипло	8.5	9149
596  	любезно	8.4	9178
597  	навеки	8.4	9182
598  	приветливо	8.4	9201
599  	чудом	8.4	9224
600  	блестяще	8.3	9235
601  	извне	8.3	9244
602  	мельком	8.3	9251
603  	насмерть	8.3	9256
604  	политически	8.3	9274
605  	сдержанно	8.3	9287
606  	угрюмо	8.3	9303
607  	явственно	8.3	9311
608  	бесполезно	8.1	9394
609  	кверху	8.1	9416
610  	нечаянно	8.1	9427
611  	равномерно	8.1	9442
612  	брезгливо	8.0	9472
613  	вполголоса	8.0	9477
614  	напрочь	8.0	9508
615  	рассеянно	8.0	9535
616  	попутно	7.9	9598
617  	восторженно	7.8	9636
618  	всего-то	7.8	9637
619  	лень	7.8	9652
620  	морально	7.8	9656
621  	грамотно	7.7	9715
622  	вдаль	7.6	9787
623  	взамен	7.6	9790
624  	жизненно	7.6	9806
625  	право	7.6	9841
626  	психологически	7.6	9847
627  	тайком	7.6	9858
628  	тяжко	7.6	9861
629  	хитро	7.6	9867
630  	безразлично	7.5	9874
631  	вопросительно	7.5	9880
632  	излишне	7.5	9903
633  	искусственно	7.5	9905
634  	набок	7.5	9917
635  	нагло	7.5	9918
636  	назавтра	7.5	9919
